tipu,esta,muni,dess,ptda,msnm,lati,logi,temp,temp_min,temp_max,hrel,vent,vent_dir,vent_max,prec,prec_mes,prec_int_h,data_ini
soci,c19m044e01,Ayora,Plaza Mayor,,605,39.05950000,-1.05500000,"21,7","11,4","21,7","39,0","10,5",NNE,"18,3","0,0","2,1","0,0",23/09/2025 13:57
soci,c19m044e07,Ayora,Pol&iacute;gono / Apicultura Cerd&aacute;,,582,39.05171700,-1.04415300,"23,9","8,3","23,9","31,0","1,4",NO,"9,3","0,0","2,3","0,0",23/09/2025 13:57
soci,c19m097e02,Cofrentes,,,387,39.23035830,-1.06205520,"22,3","10,4","22,4","34,0","14,5",NO,"25,7","0,0","1,0","0,0",23/09/2025 13:54
soci,c19m099e14,Cortes de Pall&aacute;s,,El Oro,542,39.29907110,-0.92003770,"22,7","12,4","22,7","36,0","4,8",NNO,"22,5","0,0","0,4","0,0",23/09/2025 13:55
soci,c19m099e13,Cortes de Pall&aacute;s,,La Cabezuela,696,39.31926020,-1.04039780,"19,4","9,9","20,3","43,0","4,8",SSO,"22,5","0,0","1,6","0,0",23/09/2025 13:56
avmt,c19m099e02,Cortes de Pall&aacute;s,,Venta de Gaeta,665,39.30752500,-0.96000000,"20,7","7,5","21,7","38,0","3,2",SE,"19,3","0,0","0,6","0,0",23/09/2025 13:55
soci,c19m099e12,Cortes de Pall&aacute;s,Ayuntamiento,,427,39.24333034,-0.94071800,"23,4","12,4","23,4","28,0","8,0",SSO,"17,7","0,0","4,0","0,0",23/09/2025 13:55
soci,c20m016e01,Alc&agrave;ntera de X&uacute;quer,,,38,39.06932400,-0.56014113,"25,4","16,3","25,4","39,0","9,7",SSE,"20,9","0,0","21,6","0,0",23/09/2025 13:53
soci,c20m031e01,Alginet,,,27,39.26081136,-0.46521340,"25,5","15,0","25,9","41,0","3,0",SSO,"22,0","0,0","5,1","0,0",23/09/2025 13:55
soci,c20m031e02,Alginet,Urb. Los Lagos,,115,39.26852300,-0.49742800,"24,7","17,2","24,8","40,0","5,0",SSO,"22,0","0,0","6,3","0,0",23/09/2025 13:55
soci,c20m017e03,Alzira,Ajuntament,,19,39.15194850,-0.44302200,"25,0","16,4","25,0","40,0","0,0",SO,"16,1","0,0","21,0","0,0",23/09/2025 13:55
soci,c20m017e09,Alzira,est / l&#039;Alquen&egrave;ncia,,25,39.14991100,-0.42555900,"25,2","14,2","26,2","44,0","8,0",NNE,"14,5","0,0","21,8","0,0",23/09/2025 13:56
soci,c20m017e13,Alzira,IES La Murta,,18,39.15748744,-0.43546020,"25,0","16,0","25,4","40,0","6,4",SO,"16,1","0,0","14,6","0,0",23/09/2025 13:50
soci,c20m017e12,Alzira,la Casella,,130,39.11572800,-0.35439700,"23,6","13,7","25,1","49,0","8,0",E,"19,3","0,0","43,0","0,0",23/09/2025 13:54
soci,c20m017e05,Alzira,la Murta,,120,39.13390000,-0.37665400,"24,5","11,4","25,6","51,0","6,4",ESE,"16,1","0,0","26,2","0,0",23/09/2025 13:54
soci,c20m017e08,Alzira,Mulata (Alzicoop),,20,39.14786400,-0.48252100,"26,1","11,8","26,1","46,0","4,8",E,"14,5","0,0","14,8","0,0",23/09/2025 13:55
soci,c20m017e14,Alzira,nord / Pol&iacute;gon,,24,39.16644600,-0.41870000,"24,7","15,4","25,2","38,0","3,2",OSO,"20,9","0,0","19,4","0,0",23/09/2025 13:56
soci,c20m040e01,Antella,,,44,39.07921300,-0.59262800,"25,5","15,8","25,8","40,0","4,0",SSO,"14,8","0,0","16,3","0,0",23/09/2025 13:55
soci,c20m060e04,Benifai&oacute;,CEIP Santa B&agrave;rbara,,15,39.28730200,-0.42509300,"24,7","15,7","24,7","43,0","16,1",ENE,"20,9","0,0",,"0,0",23/09/2025 13:50
soci,c20m084e01,C&agrave;rcer,,,42,39.06687400,-0.56801000,"25,4","15,6","25,4","43,0","4,8",NE,"19,3","0,0","25,8","0,0",23/09/2025 13:56
soci,c20m084e02,C&agrave;rcer,Pla del Rei,,48,39.06170000,-0.56440000,"26,1","15,3","26,1",,"0,0",SSO,"11,3",,,"0,0",23/09/2025 13:52
soci,c20m083e04,Carcaixent,Ajuntament,,31,39.12303100,-0.45110300,"25,0","16,6","25,1","40,0","3,2",ENE,"16,1","0,0","17,0","0,0",23/09/2025 13:54
soci,c20m083e05,Carcaixent,Hort de Soriano,,113,39.06970000,-0.40886600,"24,7","14,7","25,3","43,0","4,8",E,"16,1","0,0","31,2","0,0",23/09/2025 13:53
soci,c20m083e06,Carcaixent,Quatre Camins,,30,39.11679100,-0.45058000,"25,2","15,6","25,6","37,0","6,1",N,"14,2","0,0","17,8","0,0",23/09/2025 13:50
soci,c20m085e03,Carlet,Ajuntament,,55,39.22582300,-0.51966600,"25,1","15,5","25,4","41,0","0,0",SE,"17,7","0,0","5,6","0,0",23/09/2025 13:53
soci,c20m085e04,Carlet,Caseta del Banc,,100,39.23108700,-0.57578900,"24,5","12,9","25,4","42,0","5,0",E,"17,0","0,0","19,2","0,0",23/09/2025 13:55
soci,c20m085e02,Carlet,<img class='mxlogis' alt='GPSuministros' src='https://www.avamet.org/fotos/logis/logo-gpsuministros.png'>,,50,39.22939900,-0.50761400,"25,8","16,1","25,8","39,0","3,3",S,"16,7","0,0","4,2","0,0",23/09/2025 13:55
soci,c20m257e04,Castell&oacute;,CEIP Sever&iacute; Torres,,36,39.07853800,-0.51653800,"25,3","15,3","25,7","37,0","1,6",SE,"19,3","0,0","16,8","0,0",23/09/2025 13:50
soci,c20m100e03,Cotes,Ajuntament,,43,39.07042200,-0.57468200,"25,3","14,5","25,8","41,0","7,6",S,"13,0","0,0","26,2","0,0",23/09/2025 13:55
soci,c20m100e02,Cotes,C/ Vicente Pav&iacute;a Gald&oacute;n,,39,39.07070500,-0.57516000,"25,6","14,7","25,6","39,0","5,0",SE,"15,7","0,0","24,8","0,0",23/09/2025 13:55
soci,c20m100e01,Cotes,La S&eacute;quia Nova,,44,39.06775200,-0.58160000,"26,5","14,1","26,5","42,0","9,7",SSE,"13,0","0,0","21,4","0,0",23/09/2025 13:50
soci,c20m130e01,Gavarda,,,80,39.09101200,-0.54533300,"25,8","15,3","25,8","41,0","1,0",NNO,"13,0","0,0","17,4","0,0",23/09/2025 13:55
soci,c20m130e02,Gavarda,la Travessa,,32,39.09377100,-0.55578800,"26,3","13,1","26,3","41,0","9,7",SSO,"19,3","0,0","17,6","0,0",23/09/2025 13:49
soci,c20m139e02,Guadassuar,Complex de Valoritzaci&oacute; de Residus,,36,39.17032000,-0.52614000,"25,2","14,2","25,2","44,0","0,0",SO,"19,3","0,0","8,4","0,0",23/09/2025 13:55
soci,c20m139e03,Guadassuar,IES Did&iacute;n Puig,,33,39.18912800,-0.48204500,"26,2","15,4","26,2","37,0","1,6",SO,"14,5","0,0","15,2","0,0",23/09/2025 13:52
soci,c20m019e01,l&prime;Alc&uacute;dia,Ajuntament,,48,39.19400000,-0.50722222,"25,3","15,1","25,4","49,0","4,8",OSO,"16,1","0,0","14,0","0,0",23/09/2025 13:56
soci,c20m019e02,l&prime;Alc&uacute;dia,Carriona,,45,39.18954300,-0.54228900,"25,5","12,4","25,8","45,0",,,,"0,0","14,8","0,0",23/09/2025 13:53
avmt,c20m017e06,la Barraca d&prime;Aig&uuml;es Vives,,,88,39.09970000,-0.37040000,"23,6","15,0","24,2","46,0","6,4",S,"17,7","0,0","31,8","0,0",23/09/2025 13:55
soci,c20m203e02,la Pobla Llarga,Ajuntament,,30,39.08592400,-0.47564100,"25,3","15,7","25,3","38,0","4,0",ESE,"13,0","0,0","18,1","0,0",23/09/2025 13:56
soci,c20m203e01,la Pobla Llarga,IES Pere d&prime;Esplugues,,39,39.08770000,-0.47630000,"25,6","16,2","25,6","39,0","0,0",NNE,"14,5","0,0","18,6","0,0",23/09/2025 13:51
soci,c20m162e01,Massalav&eacute;s,,,36,39.14064700,-0.52101800,"25,6","14,2","25,6","45,0","3,2",OSO,"14,5","0,0","23,4","0,0",23/09/2025 13:54
soci,c20m172e01,Montserrat,Casadalt,,225,39.38000000,-0.54000000,"25,6","15,4","26,2","41,0","3,2",NE,"22,5","0,0","3,8","0,0",23/09/2025 13:50
soci,c20m209e02,Rafelguaraf,,,42,39.05200000,-0.45439300,"25,7","15,7","25,8","41,0","1,6",SO,"17,7","0,0","29,0","0,0",23/09/2025 13:49
avmt,c20m212e02,Real,,,131,39.33816200,-0.60988400,"24,2","14,8","25,3","38,0","6,4",SSE,"24,1","0,0","8,4","0,0",23/09/2025 13:56
soci,c20m236e01,Sumac&agrave;rcer,,,70,39.09516666,-0.62877222,"26,2","17,0","26,3","44,0","6,7",SSE,"18,5","0,0","0,4","0,0",23/09/2025 13:56
soci,c20m248e02,Tur&iacute;s ,Canyapar,,255,39.39140000,-0.66838900,"25,4","14,0","25,7","35,0","4,8",S,"19,3","0,0","1,2","0,0",23/09/2025 13:50
soci,c21m008e01,Albalat de la Ribera,,,25,39.20235700,-0.38682500,"24,9","16,2","25,1","41,0","9,7",E,"17,7","0,0","9,6","0,0",23/09/2025 13:55
soci,c21m904e01,Benicull de X&uacute;quer,,,23,39.18506600,-0.38237400,"24,7","15,0","25,4","43,0","6,1",S,"16,6","0,0","20,4","0,0",23/09/2025 13:56
soci,c21m098e01,Corbera,,,21,39.15797800,-0.35458800,"24,3","17,4","25,1","45,0","6,1",SE,"20,1","0,0","12,4","0,0",23/09/2025 13:56
